JASPAR_id,Cluster
MA1242.1,1
MA0976.2,1
MA1671.1,1
MA1005.2,1
MA1245.2,1
MA1001.1,1
UN0357.1,1
MA0998.1,1
MA0992.2,1
MA1001.2,1
MA0993.1,1
MA0994.1,1
MA1006.1,1
MA1000.1,1
MA0999.1,1
MA0992.1,1
MA0976.1,1
MA0975.1,1
MA1051.1,1
MA0980.1,1
MA1052.1,1
MA1053.1,1
MA0979.1,1
MA1005.1,1
MA1004.1,1
MA1049.1,1
MA0567.1,1
MA1002.1,1
MA0997.1,1
MA1427.1,2
MA0937.1,2
MA0936.1,2
MA0938.1,2
MA0939.1,2
MA1045.1,2
MA1043.1,2
MA0935.1,2
MA1044.1,2
UN0373.1,2
MA1675.1,2
UN0344.1,2
UN0375.1,2
UN0382.1,2
UN0346.1,2
UN0376.1,2
MA1677.1,2
UN0348.1,2
UN0370.1,2
UN0377.1,2
UN0380.1,2
UN0374.1,2
UN0342.1,2
MA1286.1,3
MA1282.1,3
MA1289.1,3
MA1290.1,3
MA1287.1,3
MA1291.1,3
MA1288.1,3
MA1065.1,3
MA0587.1,3
MA1064.1,3
MA1063.1,3
MA1428.1,3
MA1066.1,3
MA1062.1,3
MA1067.1,3
MA1035.1,3
MA1284.1,3
MA1062.2,3
MA1065.2,3
MA1283.1,3
MA1285.1,3
MA0972.1,4
MA1185.1,4
MA1187.1,4
MA1182.1,4
MA1183.1,4
MA1190.1,4
MA1184.1,4
MA1191.1,4
MA1680.1,4
MA1401.1,4
MA0589.1,5
MA1307.1,5
MA1300.1,5
MA1310.1,5
MA1312.1,5
MA1086.1,5
MA1076.1,5
MA1311.2,5
MA1090.1,5
MA1304.1,5
MA1302.1,5
MA1309.1,5
MA1301.1,5
MA1316.1,5
MA1298.1,5
MA1094.1,5
MA1085.2,5
MA1088.1,5
MA1077.1,5
MA1079.1,5
MA1089.1,5
MA1296.1,5
MA1315.1,5
MA1317.1,5
MA1076.2,5
MA1306.1,5
MA1313.1,5
MA1295.1,5
MA1311.1,5
MA1318.1,5
MA1308.1,5
MA1305.1,5
UN0354.1,5
MA1299.1,5
MA1297.1,5
MA1303.1,5
MA1314.1,5
MA1087.1,5
MA1084.1,5
MA1075.1,5
MA1085.1,5
MA1091.1,5
MA1093.1,5
MA1092.1,5
MA1078.1,5
MA1081.1,5
MA1080.1,5
MA1083.1,5
MA1350.1,6
MA1339.1,6
MA1668.1,6
MA1340.1,6
MA1341.1,6
MA1337.1,6
MA1344.1,6
MA1349.1,6
MA1338.1,6
MA1345.1,6
MA1334.1,6
MA1351.1,6
MA0968.2,6
MA0551.1,6
MA0570.2,6
MA1672.1,6
MA0941.1,6
MA0550.1,6
MA1425.1,6
MA1659.1,6
MA0570.1,6
MA0550.2,6
MA1359.1,6
MA1360.1,6
MA0580.1,6
MA1362.1,6
MA0552.1,6
MA1364.1,6
MA1363.1,6
MA1207.1,6
MA1361.1,6
MA1673.1,7
UN0353.1,7
UN0352.1,7
UN0356.1,7
MA0561.1,8
MA0968.1,8
MA0930.1,8
MA0562.1,8
MA0962.1,8
MA1074.1,8
MA0959.1,8
MA0963.1,8
MA0568.1,8
MA0569.1,8
MA0566.1,8
MA0957.1,8
MA0958.1,8
MA0960.1,8
MA0956.1,8
MA0965.1,8
MA0966.1,8
MA1061.1,8
MA0931.1,8
MA0560.1,8
MA0964.1,8
MA1025.1,8
MA1332.1,8
MA0549.1,8
MA1331.1,8
MA1333.1,8
MA1159.1,9
MA1370.1,9
MA1373.1,9
MA1374.1,9
MA1371.1,9
MA1158.1,9
MA1160.1,9
MA1157.1,9
MA1156.1,9
MA1268.1,9
MA1279.1,9
MA1274.1,9
MA1270.1,9
MA1273.1,9
MA1277.1,9
MA1267.1,9
MA1272.1,9
MA1278.1,9
MA1281.1,9
MA1179.1,10
MA1176.1,10
MA1170.1,10
MA1392.1,10
MA1181.1,10
MA1393.2,10
MA1394.1,10
MA1175.1,10
MA1391.1,10
MA1662.1,10
MA1174.1,10
MA1391.2,10
MA1173.1,10
MA1177.1,10
MA0575.1,10
MA1393.1,10
MA1395.1,10
MA1172.1,10
MA1178.1,10
MA1180.1,10
MA1394.2,10
MA1169.1,10
MA1171.1,10
MA1227.1,11
MA1233.1,11
MA1248.1,11
MA1232.1,11
MA1236.1,11
MA1244.1,11
MA1256.1,11
MA1246.1,11
MA1257.1,11
MA1226.1,11
MA1255.1,11
MA1261.1,11
MA1228.1,11
MA1262.1,11
MA1240.1,11
MA1239.1,11
MA1231.1,11
MA1266.1,11
UN0363.1,11
MA1264.1,11
MA1221.1,11
MA1247.1,11
MA1000.2,11
MA1225.1,11
MA1252.1,11
MA1245.1,11
MA1325.1,12
MA1396.1,12
MA1324.1,12
MA1323.1,12
MA1016.1,12
MA1018.1,12
MA1017.1,12
MA1015.1,12
MA1013.1,12
MA1014.1,12
MA1265.1,13
MA1260.1,13
MA1009.1,13
MA0996.1,13
MA0971.1,13
MA0995.1,13
MA0986.1,13
MA0978.1,13
MA0985.1,13
MA0944.1,13
MA1206.1,13
MA1048.1,13
MA0942.1,13
MA0943.1,13
MA1217.1,13
MA1233.2,13
MA1249.1,13
MA1253.1,13
MA1229.1,13
UN0364.1,13
MA1238.2,13
MA1265.2,13
MA1230.1,13
MA1223.1,13
MA1241.1,13
MA1259.1,13
MA1220.1,13
MA1424.1,13
MA1679.1,13
MA1669.1,13
MA1227.2,13
MA1670.1,13
MA1218.1,13
MA1224.1,13
MA0995.2,13
MA0980.2,13
MA1376.1,13
MA1251.1,13
MA1243.1,13
MA1258.1,13
MA1237.1,13
MA1216.1,13
MA1263.1,13
MA1234.1,13
MA1238.1,13
MA1250.1,13
MA1219.1,13
MA1222.1,13
MA0950.1,14
MA0952.1,14
MA0008.1,14
MA1026.1,14
MA0951.1,14
MA0110.1,14
MA0953.1,14
MA0954.2,14
UN0381.1,14
MA1213.1,14
MA0110.2,14
MA1211.1,14
MA0110.3,14
MA0008.2,14
MA1215.1,14
MA1209.1,14
MA1212.1,14
MA1198.1,14
MA1024.1,14
MA0954.1,14
MA1406.1,14
MA1210.1,14
MA1280.1,15
MA1269.1,15
MA1071.1,15
MA0982.1,15
MA0983.1,15
MA0977.1,15
MA0984.1,15
UN0360.1,15
MA1275.1,15
MA0974.1,15
MA0981.1,15
MA0973.1,15
MA0974.2,15
MA1271.1,15
MA1276.1,15
MA0946.1,16
MA0947.1,16
MA0121.1,16
UN0080.1,16
MA0945.1,16
MA1413.1,16
MA0948.1,16
MA1164.1,16
MA0949.1,16
MA1388.1,16
MA1027.1,16
MA1028.1,16
MA1387.1,16
MA1165.1,16
MA1390.1,16
MA1167.1,16
MA1386.1,16
MA1385.1,16
MA1168.1,16
MA1163.1,16
MA1166.1,16
MA1384.1,16
MA1383.1,16
MA1389.1,16
MA1663.1,17
UN0369.1,17
MA1676.1,17
MA1678.1,17
UN0345.1,17
MA1660.1,17
UN0349.1,17
MA1674.1,17
UN0378.1,17
UN0350.1,17
UN0347.1,17
UN0371.1,17
UN0372.1,17
UN0343.1,17
MA0576.1,18
MA0574.1,18
UN0366.1,18
UN0358.1,18
UN0367.1,18
MA1294.1,18
MA1293.1,18
MA1292.1,18
MA1037.1,18
MA1041.1,18
MA1042.1,18
MA1039.1,18
MA1040.1,18
MA1036.1,18
UN0355.1,18
MA1038.1,18
UN0368.1,18
MA1201.1,19
MA1342.1,19
MA1047.2,19
MA1346.1,19
MA1336.1,19
MA1068.1,19
MA1047.1,19
MA0967.1,19
MA1335.1,19
MA1348.1,19
MA0588.1,19
MA1069.1,19
MA1070.1,19
MA1046.1,20
MA0932.1,20
MA0934.1,20
MA0933.1,20
MA1327.2,20
MA1375.1,20
MA0990.1,20
MA1369.1,20
MA0553.1,21
MA1055.1,21
MA0577.2,21
MA1058.1,21
MA1060.1,21
MA1057.1,21
MA1059.1,21
MA0577.1,21
MA0578.1,21
MA0586.1,21
MA0586.2,21
MA1322.1,21
MA1321.1,21
MA1059.2,21
MA1056.1,21
MA1320.1,21
UN0359.1,21
UN0351.1,22
MA1682.1,22
MA1379.1,22
MA1162.1,22
MA1380.1,22
MA1161.1,22
MA0005.1,23
MA0563.1,23
MA0001.1,23
MA1199.1,23
MA0548.1,23
MA0556.1,23
MA1203.1,23
MA1012.1,23
MA0554.1,23
MA0940.1,23
MA0559.1,23
MA0585.1,23
MA0005.2,23
MA0001.2,23
MA0584.1,23
MA1204.1,23
MA0558.1,23
MA0555.1,23
MA1205.1,23
MA0548.2,23
MA1200.1,23
MA1193.1,24
MA1398.2,24
MA1397.1,24
MA1681.1,24
MA1192.1,24
MA1186.1,24
MA1398.1,24
MA1400.1,24
MA1194.1,24
MA1189.1,24
MA1399.1,24
MA1195.1,24
MA1196.1,24
MA1188.1,24
UN0361.1,25
MA1208.1,25
MA1365.2,25
MA1661.1,25
UN0365.1,25
MA1366.1,25
MA1365.1,25
MA1353.1,26
MA1355.1,26
MA1354.1,26
MA1352.1,26
MA1356.1,26
MA1326.1,27
MA1329.2,27
MA1330.1,27
MA1329.1,27
MA1328.1,27
MA1327.1,27
MA1403.1,28
MA1404.1,28
MA1402.1,28
MA1358.1,29
MA1357.1,29
UN0379.1,30
MA1667.1,30
MA1665.1,30
MA1664.1,30
MA1666.1,30
MA0970.1,31
MA1426.1,31
MA0969.1,31
UN0362.1,31
MA1382.1,31
MA0557.1,31
MA1197.1,31
MA1235.1,32
MA0571.1,32
MA1377.1,32
MA1378.1,32
MA0565.2,33
UN0079.1,33
MA0581.1,33
MA0565.1,33
MA0564.1,33
MA1026.2,34
MA0573.1,34
MA1381.1,35
MA1372.1,35
MA1020.1,36
MA1202.1,36
MA1368.2,37
MA1368.1,37
MA1414.1,38
MA0583.1,39
MA1343.1,39
MA0582.1,40
MA1415.1,41
MA1367.1,42
MA1214.1,43
MA0579.1,44
MA0590.1,45